run_id,timestamp,batch_index,molecule_index,smiles,canonical_smiles,targetA_raw,targetA_score,offTargetB_raw,offTargetB_score,off_target_penalty,total_reward,aggregation_mode,targetA_reason,offTargetB_reason
single_target_b1_a6000_post,2026-02-20T19:17:14,1,0,CC1CC(N)CC(c2ccncc2NC(=O)c2cccc(Cl)c2)C1,CC1CC(N)CC(c2ccncc2NC(=O)c2cccc(Cl)c2)C1,0.20496505498886108,0.08625215905510217,0.0,0.0,0.0,0.08625215905510217,single,ok,single_mode
single_target_b1_a6000_post,2026-02-20T19:17:14,1,1,N#CC(=Cc1ccc(N2C(=O)C=CC2=O)cc1)C(=O)O,N#CC(=Cc1ccc(N2C(=O)C=CC2=O)cc1)C(=O)O,0.504986306031545,0.509971289865349,0.0,0.0,0.0,0.509971289865349,single,ok,single_mode
single_target_b1_a6000_post,2026-02-20T19:17:14,1,2,CCCCN=c1[nH]c(CCO)nc(=Nc2ccc(C(C)=O)cc2)[nH]1,CCCCN=c1[nH]c(CCO)nc(=Nc2ccc(C(C)=O)cc2)[nH]1,0.2501271863778432,0.11930979345163976,0.0,0.0,0.0,0.11930979345163976,single,ok,single_mode
single_target_b1_a6000_post,2026-02-20T19:17:14,1,3,O=c1ccc(-c2cnc(-n3[nH]c(C(F)(F)F)cc3=O)s2)nn1-c1cccc(Cl)c1,O=c1ccc(-c2cnc(-n3[nH]c(C(F)(F)F)cc3=O)s2)nn1-c1cccc(Cl)c1,0.42114126682281494,0.34731332463666015,0.0,0.0,0.0,0.34731332463666015,single,ok,single_mode
single_target_b1_a6000_post,2026-02-20T19:17:14,1,4,Cc1ccc(C(=O)OCC2(CO)CC(=Cc3ccccc3)C(=O)O2)cc1,Cc1ccc(C(=O)OCC2(CO)CC(=Cc3ccccc3)C(=O)O2)cc1,0.2156072606643041,0.09320272833068731,0.0,0.0,0.0,0.09320272833068731,single,ok,single_mode
single_target_b1_a6000_post,2026-02-20T19:17:14,1,5,CCOc1cnc(N2CCC(NCc3ccc(Cl)cc3)CC2)c(C)c1,CCOc1cnc(N2CCC(NCc3ccc(Cl)cc3)CC2)c(C)c1,0.21636579682429632,0.09371686334188356,0.0,0.0,0.0,0.09371686334188356,single,ok,single_mode
single_target_b1_a6000_post,2026-02-20T19:17:14,1,6,COc1ccc(-c2ccc(C(C)=CCn3cncn3)cc2)cc1OC1CCOCC1,COc1ccc(-c2ccc(C(C)=CCn3cncn3)cc2)cc1OC1CCOCC1,0.39794523517290753,0.3065202711058253,0.0,0.0,0.0,0.3065202711058253,single,ok,single_mode
single_target_b1_a6000_post,2026-02-20T19:17:14,1,7,O=c1[nH]c2ccc(Cl)cc2c(=O)n1CCN1CCC2c3ccccc3C(c3ccccn3)C2C1,O=c1[nH]c2ccc(Cl)cc2c(=O)n1CCN1CCC2c3ccccc3C(c3ccccn3)C2C1,0.2543564786513646,0.12291097655609995,0.0,0.0,0.0,0.12291097655609995,single,ok,single_mode
single_target_b1_a6000_post,2026-02-20T19:17:14,1,8,Nc1c(N=Cc2ccccc2)sc2nc3c(cc12)CCCC3,Nc1c(N=Cc2ccccc2)sc2nc3c(cc12)CCCC3,0.5441974202791849,0.5874852949854209,0.0,0.0,0.0,0.5874852949854209,single,ok,single_mode
single_target_b1_a6000_post,2026-02-20T19:17:14,1,9,OC1(C2CCCCN2)Cc2cccc3cccc1c23,OC1(C2CCCCN2)Cc2cccc3cccc1c23,0.2791703939437866,0.14596106843718704,0.0,0.0,0.0,0.14596106843718704,single,ok,single_mode
